tag,name,townHallLevel,townHallWeaponLevel,expLevel,trophies,bestTrophies,warStars,attackWins,defenseWins,builderHallLevel,versusTrophies,bestVersusTrophies,versusBattleWins,role,warPreference,donations,donationsReceived,league,clanName,clanTag,datePulled
#QPPQVGVCY,Retired Fun,11,,129,1756,2696,340,1,2,9,2519,2833,867,member,in,121,63,Gold League I,Rob-Seb,#8Q0L9CRY,7/27/2022
#QR8P98299,اللّه,9,,82,1493,2019,53,0,0,7,1862,1923,223,member,in,0,0,,Rob-Seb,#8Q0L9CRY,7/27/2022
#Q8QRLPJUJ,PekkaBoMack,10,,84,1341,1413,272,0,0,2,403,445,15,coLeader,in,0,0,,Rob-Seb,#8Q0L9CRY,7/27/2022
#LQPC02YRQ,DrunkBanana,10,,72,951,1057,55,0,0,4,50,50,0,member,in,0,0,,Rob-Seb,#8Q0L9CRY,7/27/2022
#290LGJPL,UnDead Monkeyy,14,5,231,4899,5330,2506,9,1,9,3361,3996,3235,member,in,189,0,Titan League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#UJVR2Y9,Sir Rgra,14,5,238,4898,5294,2951,4,0,9,4089,4327,1975,coLeader,in,116,471,Legend League,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2JG0RPCY9,Robert III,14,5,233,4861,5300,2797,5,0,9,4076,4357,1900,member,in,555,396,Legend League,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#80R9C08L,kick,14,5,238,4838,5210,2622,0,0,9,4061,4686,3352,member,in,226,48,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#PR0UURRJ,mgrav,14,5,228,4719,5302,2839,1,1,9,4134,4648,3482,member,in,0,96,Titan League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#92VRP822,Hades,14,5,219,4666,5310,2558,0,0,9,4372,4428,362,member,in,0,0,Titan League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2Q0UYQPR,mgrav the third,14,5,211,4645,5006,1717,1,0,9,3773,4275,1642,member,in,281,96,Titan League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#Y22088QL,osja76,14,5,221,4550,5060,2908,0,0,9,4262,4281,1200,member,in,32,93,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#VP9V8CPR,SiriusGoldman,14,5,235,4494,5436,3145,0,1,9,2788,4772,3840,member,in,100,33,Titan League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#8R9280CJ0,Anubis,13,1,185,4467,4860,830,11,0,8,2667,2839,1265,admin,in,69,0,Titan League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#9RP8UCC8,vp,14,5,237,4420,5190,2911,3,1,9,4972,5434,6532,member,in,279,0,Titan League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#8GC9V8QU,Joe.jk,14,5,225,4380,5078,2592,4,3,9,3984,4743,5263,member,in,358,282,Titan League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#JU9QQJY9,mongo,14,2,210,4331,4341,3581,4,1,9,4239,4265,3485,admin,in,0,0,Titan League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#8G88CPP0,Ninja,14,5,262,4221,5417,3001,0,0,9,4330,4486,2904,coLeader,in,258,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#28PQCL9UJ,Lisa,14,5,238,4202,4634,3524,0,0,9,4112,4171,2135,leader,in,50,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2CQL2VQ,joe,14,5,218,4140,4333,2252,2,1,9,4037,4497,3155,member,in,168,189,Titan League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#20CQCUGR,magnus,13,5,187,4020,4257,942,2,1,9,3519,3762,1094,member,in,161,182,Champion League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#J0VL828P,Dr.Bowling,14,5,211,3919,4510,1848,0,0,8,3039,3039,584,admin,in,0,45,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#9GP2RCCYU,Reaper,12,5,167,3856,3984,125,11,0,8,2651,2784,1306,admin,in,84,0,Champion League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#GJG2CYV0,Nicky By,13,5,187,3792,4053,1449,0,0,9,3488,3737,1039,member,in,57,124,Champion League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#928YR0P92,I Am NewTon,13,5,212,3499,4369,2262,0,0,9,4171,4171,919,member,in,4,77,Champion League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#QPYPUPYY,Jeromi,13,5,232,3482,5120,2738,6,2,9,5000,5991,8939,member,in,460,349,Champion League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#PPLGJP08,HEIZE,14,5,212,3441,3878,1400,0,0,9,3928,4502,1572,member,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#L0LP8V8R,stun,14,5,201,3426,4547,1454,0,0,9,4764,4944,1788,member,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2092RYYQJ,alcoman,12,5,177,3360,3571,1251,4,2,8,2922,3046,784,member,in,569,358,Champion League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#YC0LYLL2,Diplo_99,12,5,173,3290,3357,772,1,0,9,3723,3752,1592,admin,in,0,0,Champion League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2LCJ9U228,DARK KNIGHT,12,5,181,3234,3695,2260,0,0,8,2545,2592,339,admin,in,48,40,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#L0JUJ2JYC,N O M A N,13,4,157,3228,5020,574,5,0,9,3076,3076,1231,member,in,123,216,Champion League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#200VUPCUP,Shahzaib Ahmed,13,5,227,3129,4184,2339,3,0,8,2463,2463,446,member,in,139,96,Master League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#GY0R2PR0,Divyam121,12,3,163,3113,3264,1155,0,0,9,3336,3340,906,member,in,62,70,Master League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#VV9Y8CV8,The Big Banana,13,5,162,3000,3107,1252,0,0,9,3107,3332,856,coLeader,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#Y0RRY9YY,GetPsyched,12,3,164,2994,3414,681,4,0,9,3939,3969,1508,member,in,0,296,Master League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#C9JYQ88R,Black Arianator,13,1,178,2983,3135,1231,1,0,9,3774,3774,253,admin,in,173,152,Master League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2URV9J08U,GC0C0,12,3,150,2832,3121,692,0,0,8,2799,3010,833,member,in,166,67,Master League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#YV2RVGGV,josoel,12,2,157,2829,3621,851,4,0,9,3558,3670,1155,admin,in,153,216,Master League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2YLCUYLJG,jacky,12,1,146,2722,2871,1067,0,0,7,2342,2508,135,admin,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#YQCQJ8VCL,GC0C02️⃣,11,,120,2688,2734,270,3,2,7,2052,2052,108,admin,in,35,268,Master League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2VJRJJ2JV,Joker,12,3,163,2634,3271,1249,0,0,8,2539,2554,807,member,in,0,112,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#QCVP8LLP,Futility,14,5,214,2634,4750,2879,0,0,9,3462,3989,604,coLeader,in,103,77,Master League III,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#9G08QGQ0Q,SUSHI,12,5,152,2572,2967,1593,0,0,7,2432,2745,1278,coLeader,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#PRCYGP0YG,Shaheer,12,5,165,2397,3396,976,6,1,9,3717,3717,1284,member,in,7,162,Crystal League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#QJCQG2G2,SC0C064,12,1,142,2367,3033,600,2,0,7,2344,2648,598,member,in,9,134,Crystal League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#LRRP2QY8J,Hiræth,12,5,122,2349,2485,336,0,0,9,1915,2076,134,member,in,5,40,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#UQGQLCP9,Goatosis,11,,129,2345,2771,258,9,0,9,2718,2830,504,member,in,45,264,Crystal League II,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#8P009G082,Mini McKnight,11,,142,2340,2578,829,0,0,7,2265,2265,140,coLeader,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#YQ0V29QJQ,Sergeant Keroro,11,,116,2308,2441,1382,15,0,7,1854,2034,296,member,in,0,0,Crystal League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#9YUC2VGQ9,Phoenix 1.0,12,2,148,1996,3350,920,0,0,7,2258,2339,782,member,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#2PY809VP,Sir Rhino,13,1,188,1994,3633,2116,0,1,9,3962,4019,1292,admin,in,0,0,Gold League I,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#LCYJRL8PR,Dark Phoenix,11,,107,1666,1914,417,0,0,4,1206,1242,66,member,in,0,0,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#QR9YVG8GY,The Bad Banana,13,3,77,1383,1464,72,0,0,7,1912,2057,165,coLeader,in,0,35,,Vi11ageWarriors,#LL2C8L8V,7/27/2022
#90V9VUG8,rodorplastikk,14,5,220,4965,5166,2252,17,1,9,5039,5449,6355,admin,in,0,0,Titan League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#L992QVUY,JudgeMcCoy,14,5,227,4879,5439,1221,0,1,9,4674,5093,2905,member,in,42,78,Titan League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2GPCGU92R,Sulfur,14,5,207,4402,5327,2370,4,0,8,2722,2782,522,member,in,30,78,Titan League II,#THE SHIELD#,#PGPPQRLY,7/27/2022
#LJRJ922C,Gabe,14,5,217,4068,5123,1774,0,0,9,4760,5339,2841,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#Y9P90JGC,Knight Gryffin,13,5,200,4028,4355,1491,3,0,9,4996,5068,3245,member,in,140,49,Champion League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YYULRGRLL,Mogambo,14,5,213,3888,3895,1693,21,1,9,4303,4876,3574,member,in,0,0,Champion League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2G9V8U0LU,PabloSv,13,5,175,3847,4469,810,0,0,9,3018,3247,774,coLeader,in,1,77,Champion League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#9GPLYJQ9,Kasmer,14,5,211,3650,4568,1518,0,0,9,4242,4820,2492,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#28YPU8V80,Laeif,14,5,191,3608,3748,2132,0,0,9,3649,3818,1158,coLeader,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#CC2PU9VQ,Hammer Hore,14,5,257,3253,5574,3155,6,1,9,5000,5337,2891,admin,in,253,0,Champion League III,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2P0Y9GUUR,DoHyunsMum,14,1,130,3243,3322,313,0,0,9,2275,2275,212,member,in,32,2,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YRCPJPYP8,UHCxFRANK,12,3,147,3213,3332,333,0,0,9,3606,3679,739,admin,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#QCYC8YRL,STORMs,14,5,203,3179,4560,1542,0,0,9,3173,3458,1866,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#8L8Y2RVUV,ςђєŦ ɢᴏʙʟɪɴ,13,5,239,3124,5430,2416,0,0,9,3704,3704,804,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#Q0C0VVQ0Y,I'm Trash,14,1,120,3106,3106,602,15,1,9,3414,3475,369,admin,in,0,687,Master League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YJCRG8RJ,Noah,12,1,131,3097,3309,244,6,2,7,2284,2358,309,member,in,55,181,Master League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#LL9LR88C2,Tycho,12,5,161,3070,3380,819,0,0,9,3849,3966,1778,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#8QYVGC898,-:Susee:-,13,3,150,3008,3131,1733,0,0,4,1276,1306,80,leader,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#90GQYRYQV,Anna,13,5,184,2910,3311,3652,4,1,7,2208,2262,281,member,in,0,0,Master League II,#THE SHIELD#,#PGPPQRLY,7/27/2022
#9R9QQL0PY,Nappa,13,2,144,2908,3240,1694,2,1,7,1596,1601,68,member,in,0,0,Master League II,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2CCJQ9C0J,MountainGoat,12,5,161,2773,3074,748,0,0,9,3222,3371,1282,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#9VQQQ8UCR,ANIKET tushar,13,5,169,2698,3631,916,0,0,8,2887,3011,851,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#P2UULUR9V,-=[ Henry ]=-,12,5,140,2655,2747,528,0,0,9,3510,3728,983,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#Q9C2QQVR,st0ckholm,12,5,174,2607,3043,1223,0,0,9,3134,3165,747,coLeader,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#8C0Y99CCQ,Sid,12,5,174,2594,2946,1079,6,0,9,4866,4957,1638,member,in,72,114,Master League III,#THE SHIELD#,#PGPPQRLY,7/27/2022
#J2GVRPQQ,ABID,12,2,159,2588,2796,846,4,1,9,3014,3106,557,member,in,0,0,Crystal League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#P8LVPUC9,KurtozZ,11,,138,2557,3028,334,3,0,9,2889,3062,945,member,in,0,0,Crystal League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#GQV0VQ9Q,Munoobinater,12,5,176,2556,3406,665,0,0,9,3702,3702,844,admin,in,0,43,Crystal League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#LP9G02Y,sleli,11,,153,2525,3206,679,4,2,9,3328,3461,804,member,in,37,37,Crystal League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#800JJGP82,Visby,13,5,255,2496,4049,1179,0,0,9,3756,3901,1312,coLeader,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#8Q8QJJLVQ,yVigil,12,1,148,2495,2899,300,0,0,9,2912,3194,599,member,in,0,0,Crystal League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#U20J0998,Lisa,12,5,166,2449,2682,2068,0,0,6,2133,2295,365,coLeader,in,5,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2JCQ8GG9C,o-chibi,12,3,141,2436,2679,492,0,0,9,2624,2684,340,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#PP88J0P9L,mono,12,5,168,2424,2602,1591,0,0,9,3844,4298,2164,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#9UCLLVJU8,TPNKyubing,12,2,132,2398,2769,279,0,0,9,2895,2951,333,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#LLY22RJ0R,elfb0ld,11,,115,2368,2682,596,0,0,5,613,625,22,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YQL0QU2R2,Noob,12,5,109,2148,2295,308,0,0,9,2830,2919,390,admin,in,23,40,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#VLQQYCUY,Auro Cena,12,3,171,2109,2824,1024,0,0,9,3375,3504,1822,member,in,0,10,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#LV2Q2VCJR,Lithiated,12,5,116,2026,2249,518,0,0,9,2863,2919,102,admin,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2RVCVJCQY,/Dr. Midnight/,11,,112,1991,2368,199,0,0,4,760,760,26,coLeader,in,91,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#JURCUY8G,メリオダス,11,,133,1977,2621,922,0,0,6,1885,2048,186,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#9GGGQCCLU,ham'n'eggs,12,5,206,1866,5089,2272,0,2,9,4890,4890,1950,member,in,0,0,Gold League I,#THE SHIELD#,#PGPPQRLY,7/27/2022
#QLPLQLG80,Darth Sid,14,5,147,1750,2002,183,0,0,9,2779,2887,425,member,in,30,45,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#Q88VU90GR,Mack Daddy,10,,96,1681,5018,702,0,0,3,677,791,63,coLeader,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#2Y9PCGR2U,Bad_Ace_Welder!,12,5,162,1675,2390,570,0,1,9,2814,3337,1055,admin,in,20,0,Gold League II,#THE SHIELD#,#PGPPQRLY,7/27/2022
#LGRUGL9R8,Frank Bg,10,,73,1669,1670,115,0,0,5,1711,1711,98,member,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YGQL80UVV,Shadow,12,5,90,1596,1989,80,1,0,5,1637,1658,106,member,out,0,72,Gold League III,#THE SHIELD#,#PGPPQRLY,7/27/2022
#8JYLQPJVG,harry,12,3,146,1518,2032,549,8,2,9,3371,3577,1253,member,in,0,0,Gold League III,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YJLYJV8VY,PablitoSv,9,,88,1393,1553,84,0,0,7,2113,2258,271,coLeader,in,0,0,,#THE SHIELD#,#PGPPQRLY,7/27/2022
#YJGVL2J2P,Glitch gaming,12,5,156,3171,4148,414,2,1,9,3194,3565,1279,admin,in,0,0,Master League I,Immortal Rising,#28Q99QL0Q,7/27/2022
#J0U8Y8QP,Cronus70,13,3,178,3053,3775,1771,0,0,9,3063,3390,1032,leader,in,94,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#LL2YLR8U,Ritz,13,4,192,2939,4637,1080,0,0,9,3930,4250,1117,admin,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#2GCPCQQUG,Rusty030,12,5,158,2746,3351,851,0,0,9,3100,3222,1281,admin,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#2YLG8V8P8,DNA McKnight,12,5,194,2712,3955,1471,0,0,9,3392,3396,713,coLeader,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#8CJ0V9LGG,Fathertimes2,11,,123,2686,2724,829,0,0,7,2366,2366,178,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#29V2L2PLG,Blackcat Robin,11,,139,2555,3424,1026,0,0,4,1468,1753,313,admin,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#8V29JU9YJ,arunesh,11,,139,2508,3672,789,0,0,7,2419,2449,744,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#RRP2JRCR,korsnuts,13,5,199,2485,3812,1213,0,0,8,2817,3054,763,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#PJG0YPUV0,Warmonger,13,2,150,2462,3058,616,0,0,8,2547,2631,733,admin,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#9C2RUVGR0,Silent Warrior,11,,117,2230,2523,285,0,0,6,1875,1875,140,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#J208G8LJ,Oak,11,,137,2211,3134,113,0,0,7,2108,2134,141,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#LQPUL0CYU,‼️Cronus‼️,11,,111,2202,2398,503,0,0,7,2158,2184,147,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#PJ9QP9UCU,Zee,12,5,99,2058,2276,36,0,0,8,2275,2275,191,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#80P09JL8Y,PIRATE KING,9,,69,1210,1423,94,0,0,3,921,921,40,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#LCVGVY9CQ,Azizur2.0,9,,84,1206,2001,265,0,0,4,1626,1626,72,member,in,0,0,,Immortal Rising,#28Q99QL0Q,7/27/2022
#22QYV8RPG,boog215,14,5,218,5145,5602,1400,15,0,9,4116,4116,908,leader,in,236,1293,Legend League,No Mercy,#LLJCVJQL,7/27/2022
#GJGYYCPR,Mighty Magoona,14,1,227,4394,4810,1715,5,0,9,4952,4952,3610,member,in,94,0,Titan League II,No Mercy,#LLJCVJQL,7/27/2022
#88U9R99LG,BøøG,14,5,259,3997,5669,3083,0,0,9,4148,4180,1281,coLeader,in,440,85,,No Mercy,#LLJCVJQL,7/27/2022
#22LJ0V09P,Cuebert,13,5,203,3997,4678,865,4,0,9,3758,4114,1741,member,in,0,94,Champion League I,No Mercy,#LLJCVJQL,7/27/2022
#88JQCRRC,Kapatiz,13,5,229,3986,5305,1019,2,0,9,4815,5080,2681,admin,out,216,154,Champion League I,No Mercy,#LLJCVJQL,7/27/2022
#90V9RUYY,AXiS,13,5,169,3759,3917,544,6,0,9,3311,3683,1524,member,out,8,258,Champion League II,No Mercy,#LLJCVJQL,7/27/2022
#LPG9G2QQ,mgnyc11,12,5,175,3673,3740,930,3,0,9,3286,3540,1353,member,in,0,0,Champion League II,No Mercy,#LLJCVJQL,7/27/2022
#UQPVVVUC,mah Than Long,14,5,190,3559,4079,815,0,0,9,3454,3659,1209,admin,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#98VQVU0PR,Jasper™,14,1,205,3528,5052,1820,4,1,7,2255,2440,386,member,in,0,144,Champion League II,No Mercy,#LLJCVJQL,7/27/2022
#CV9828PR,Poseidon,14,5,233,3463,5495,2404,0,0,9,4807,5292,3203,member,in,0,45,,No Mercy,#LLJCVJQL,7/27/2022
#8QGVLRGLQ,TrickyEaglebeak,12,1,153,3408,3410,1504,6,0,6,2227,2363,333,member,in,0,0,Champion League III,No Mercy,#LLJCVJQL,7/27/2022
#CUVY0CGJ,Fury Thurston,13,5,192,3302,4192,705,3,3,9,4224,4360,2231,admin,in,0,0,Champion League III,No Mercy,#LLJCVJQL,7/27/2022
#L9PPRJYUJ,F1nally5,13,5,191,3273,4734,1219,0,0,9,3952,4054,1063,member,in,33,0,,No Mercy,#LLJCVJQL,7/27/2022
#29JJUU000,PREDATOR,13,5,211,3235,5167,1482,0,1,9,3421,3424,962,coLeader,in,50,47,Champion League III,No Mercy,#LLJCVJQL,7/27/2022
#VVRVJ0JJ,Phyl,14,4,221,3126,3823,2621,0,0,9,4494,4553,1320,coLeader,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#2R9JU02CC,nevermind,13,1,166,3081,3610,1045,0,0,9,3789,3850,1875,member,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#8QQCGU09G,Phyl2,13,5,205,3072,3752,2327,0,0,9,4254,4282,1030,coLeader,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#9LVL0VG0,senior shans,12,5,178,3064,3366,1323,0,1,8,2475,2562,258,admin,in,119,0,Master League I,No Mercy,#LLJCVJQL,7/27/2022
#QQL000JCP,Conorrhea,13,4,149,3034,4233,764,23,1,9,3459,3517,1080,coLeader,in,372,280,Master League I,No Mercy,#LLJCVJQL,7/27/2022
#R9YG09Q,Blues Boy,13,2,191,3032,4200,1952,0,0,9,3538,3588,948,admin,in,15,0,,No Mercy,#LLJCVJQL,7/27/2022
#QR0G9VYQ8,Noodle3,12,5,122,3011,3077,281,5,1,9,3082,3221,745,admin,in,187,0,Master League I,No Mercy,#LLJCVJQL,7/27/2022
#Y2L90PY0L,★✰STARBOY✰★,12,5,162,2998,3613,1059,5,0,9,3200,3220,1924,member,in,214,174,Master League I,No Mercy,#LLJCVJQL,7/27/2022
#QG2289GU0,shuaib,11,,123,2952,3030,192,6,1,9,3319,3449,1236,admin,in,0,303,Master League I,No Mercy,#LLJCVJQL,7/27/2022
#Q2RRJUG,hunggo,13,5,208,2942,4604,1729,4,1,9,3605,3722,897,admin,in,0,0,Master League II,No Mercy,#LLJCVJQL,7/27/2022
#CGYPURRC,Hermes,14,5,230,2937,5491,2270,0,1,9,3459,3479,1016,member,in,46,0,Master League II,No Mercy,#LLJCVJQL,7/27/2022
#J29ULP8,Mr.Joshua,14,5,182,2925,4268,449,0,0,9,3972,4072,1041,admin,out,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#8LCUPJGY0,Ancient Atomist,14,3,220,2891,5185,1459,0,0,9,3577,3848,1262,member,in,144,0,Master League II,No Mercy,#LLJCVJQL,7/27/2022
#28UL009V,boog!,13,1,184,2824,3241,1417,0,0,9,2567,3011,781,member,in,10,0,,No Mercy,#LLJCVJQL,7/27/2022
#RGRJURGU,Boog Bunny,13,5,191,2779,3355,1497,2,1,9,3198,3319,398,coLeader,in,927,122,Master League II,No Mercy,#LLJCVJQL,7/27/2022
#Q2JL8J98V,ConorrheaMini,11,,104,2743,3238,370,0,0,9,2712,2850,619,coLeader,in,0,33,,No Mercy,#LLJCVJQL,7/27/2022
#908C0R9PV,✝ꜱᴀᴛʜᴇᴇꜱʜ✝,12,5,176,2702,4013,1161,0,0,9,3263,3411,1704,admin,in,46,0,Master League III,No Mercy,#LLJCVJQL,7/27/2022
#JRJCCUL,EQUINOX 7,12,5,168,2620,2853,920,0,0,8,2953,3195,1325,admin,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#P8R829CRL,Adarsh CK,12,1,145,2618,3157,520,0,0,8,2715,2905,1041,member,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#8QYY2GYYU,OneCan,11,,129,2611,2611,560,0,1,7,2534,2597,395,admin,in,2,102,Master League III,No Mercy,#LLJCVJQL,7/27/2022
#GJGYPRQV,jeremy,14,5,222,2490,4125,1073,5,1,9,4411,4794,1852,coLeader,in,87,99,Crystal League I,No Mercy,#LLJCVJQL,7/27/2022
#PJJGV80RQ,manoj mk,12,4,149,2454,3201,559,0,0,9,3292,3292,758,admin,in,0,72,Crystal League I,No Mercy,#LLJCVJQL,7/27/2022
#JVCPC9V9,B.B.,12,3,156,2359,4355,1637,0,0,9,2902,3102,760,member,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#PQUC9CRP,Ki11 Switch,14,5,229,2355,5269,964,6,1,9,4014,4721,2937,admin,in,116,45,Crystal League II,No Mercy,#LLJCVJQL,7/27/2022
#2GVQYRPP,darkauror15,12,5,169,2316,3467,500,2,0,9,3337,3567,1719,admin,in,3,0,Crystal League II,No Mercy,#LLJCVJQL,7/27/2022
#2J8YQV880,dilip,11,,137,2202,2846,507,0,0,7,2064,2214,437,coLeader,in,0,10,,No Mercy,#LLJCVJQL,7/27/2022
#YYQRRP9LP,Tayra,11,,123,2057,3434,310,0,1,6,2039,2237,279,member,in,0,0,Crystal League III,No Mercy,#LLJCVJQL,7/27/2022
#9CG00L0P9,Bushmaster,12,5,149,2000,3149,234,9,0,9,3615,3805,1049,admin,out,69,40,Crystal League III,No Mercy,#LLJCVJQL,7/27/2022
#Q2YR0Q88C,⭐️boog⭐️,11,,103,1817,2249,165,16,1,7,2249,2249,98,admin,in,137,203,Gold League I,No Mercy,#LLJCVJQL,7/27/2022
#9ULPPU02,Egg,12,5,189,1807,3999,885,4,0,9,4301,4434,2263,admin,in,130,142,Gold League I,No Mercy,#LLJCVJQL,7/27/2022
#PRL8GVGGP,NateYuhas19,11,,109,1800,2607,294,0,0,6,2095,2123,245,member,in,0,0,,No Mercy,#LLJCVJQL,7/27/2022
#9UVU80JCG,imtiazyasin,10,,112,1762,2918,164,0,0,6,2122,2344,533,member,in,55,0,Gold League II,No Mercy,#LLJCVJQL,7/27/2022
